0000000000011,1.1,0000000000011,1.1
0000000010100,4.23,0001100010100,3.2
0000000011101,0.025,0000000011101,0.025
0000000101001,2.19,0000000101001,2.19
0000010100100,3.24,0000010100100,3.24
0000010111000,0.024,0000010111000,0.024
0000100010010,0.025,0000100010010,0.025
0000100011001,0.025,0000100011001,0.025
0000100101000,15.3,0001100101000,3.23
0000100110101,9.29,0111000110101,5.26
0001000001011,0.025,0001000001011,0.025
0001000101111,5.22,0000000101111,3.21
0001000110011,6.29,0000000110011,4.23
0001010100011,7.30,0000010100011,5.24
0001010110111,0.025,0001010110111,0.025
0001100001100,4.29,0000000001100,4.17
0001100010001,3.28,0000000010001,3.23
0001100011111,3.22,0001100011111,3.22
0001100101110,0.025,0001100101110,0.025
0001110100101,0.025,0001110100101,0.025
0010000000001,1.15,0010000000001,1.15
0010000000010,0.024,0010000000010,0.024
0010000010011,2.19,0010000010011,2.19
0010000100101,3.28,0010000100101,3.28
0010000110110,0.025,0010000110110,0.025
0010010101011,1.07,0010010101011,1.07
0010010101110,2.2,0010010101110,2.2
0010010110000,2.13,0010010110000,2.13
0010100011010,0.025,0010100011010,0.025
0010110100110,6.28,0010010100110,4.26
0010110100111,0.025,0010110100111,0.025
0010110101000,5.22,0010010101000,3.19
0010110101101,7.29,0010010101101,5.26
0010110101111,6.27,0010010101111,4.07
0011000010000,15.4,0010000010000,3.13
0011000100001,0.024,0011000100001,0.024
0011000110100,13.3,0010000110100,2.26
0011010001111,8.28,0100010001111,4.13
0011010010000,0.025,0011010010000,0.025
0011100110111,0.025,0011100110111,0.025
0011110101010,6.28,0010010101010,2.13
0011110110101,8.27,0010010110101,4.1
0011110110110,0.025,0011110110110,0.025
0100000000100,0.024,0100000000100,0.024
0100000011011,2.13,0100000011011,2.13
0100000100110,1.13,0100000100110,1.13
0100000101010,1.13,0100000101010,1.13
0100000110000,11.8,0010000110000,3.15
0100000110001,1.11,0100000110001,1.11
0100010010010,0.024,0100010010010,0.024
0100010111110,1.1,0100010111110,1.1
0100100001010,18.3,0100000001010,4.14
0100100001111,0.025,0100100001111,0.025
0100100010110,10.2,0101100010110,6.22
0100110010001,19.4,0100010010001,5.13
0100110011101,10.2,0101110011101,6.23
0100110111100,0.025,0100110111100,0.025
0101000011110,14.4,0100000011110,2.13
0101000111000,10.2,0101100111000,8.27
0101010010101,0.024,0101010010101,0.024
0101010010110,8.25,0101110010110,6.24
0101010111011,0.025,0101010111011,0.025
0101100000101,2.05,0101100000101,2.05
0101100001000,5.22,0101100001000,5.22
0101100100010,4.15,0101100100010,4.15
0101110010100,0.025,0101110010100,0.025
0101110111001,5.25,0101110111001,5.25
0101110111010,0.026,0101110111010,0.026
0110000001101,19.4,0101100001101,9.23
0110000001110,13.4,0101100001110,3.21
0110000010101,5.28,0110100010101,3.14
0110000011000,15.4,0101100011000,5.27
0110000011100,14.3,0101100011100,4.26
0110000100000,5.28,0110100100000,3.14
0110000100111,15.4,0101100100111,5.25
0110000101101,0.025,0110000101101,0.025
0110010010011,13.4,0101110010011,3.25
0110010010111,8.25,0110110010111,6.13
0110010011000,0.025,0110010011000,0.025
0110010011100,4.28,0110110011100,2.14
0110100000111,0.025,0110100000111,0.025
0110100100011,0.025,0110100100011,0.025
0110110011011,2.1,0110110011011,2.1
0111000000110,1.07,0111000000110,1.07
0111000001001,8.33,0110100001001,1.08
0111000010111,0.025,0111000010111,0.025
0111000100100,8.31,0110100100100,1.11
0111000101100,2.23,0111000101100,2.23
0111000110010,0.024,0111000110010,0.024
0111010011001,9.40,0110110011001,2.12
0111010100000,2.16,0111010100000,2.16
0111010100001,3.21,0111010100001,3.21
0111010100010,3.24,0111010100010,3.24
0111010110001,3.24,0111010110001,3.24
0111010111101,4.24,0111010111101,4.24
0111100101011,0.025,0111100101011,0.025
0111100111001,0.024,0111100111001,0.024
0111110011110,7.24,0111010011110,4.25
0111110011111,6.25,0111010011111,3.24
0111110110010,6.26,0111010110010,3.19
